,Unnamed: 0,Unnamed: 1,PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP,Unnamed: 2
2,18N31A05J9,9.1,8.65,A+,A+,A+,A,A+,O,O,O,O
3,18N31A05M8,8.03,,A,A,B,A+,B+,A+,A+,O,O
4,19N31A0501,8.45,8.51,A,O,B+,B,A,O,O,O,O
5,19N31A0502,9.05,8.98,A,O,A+,A,A,O,O,O,O
6,19N31A0503,9.0,9.00,A+,O,A+,B+,A,O,O,O,O
7,19N31A0504,,,B+,F,F,C,C,A,A,A,A+
8,19N31A0505,7.8,,B+,A,A,B,B,O,O,O,A+
9,19N31A0506,,,A,A+,F,A+,A+,O,O,O,O
10,19N31A0507,,,A,A,A,A,F,O,O,O,O
11,19N31A0508,8.9,9.10,A+,A,A+,A+,A,O,O,O,O
12,19N31A0509,,,B+,F,A,B+,C,O,O,O,O
13,19N31A0510,,,A+,B,B+,A,F,O,O,O,O
14,19N31A0511,9.6,9.25,A+,O,O,A+,A+,O,O,O,O
15,19N31A0512,8.65,8.50,A+,A+,A+,B+,B+,O,O,O,O
16,19N31A0513,8.3,8.21,A,B+,A+,A,B+,O,O,O,O
2,19N31A0514,8.85,9.15,A,A+,A+,B+,A+,O,O,O,O
3,19N31A0515,9.2,9.30,A,O,A+,A,A+,O,O,O,O
4,19N31A0516,8.25,8.03,A+,B+,A+,A,B,O,O,O,O
5,19N31A0517,9.05,9.25,A,O,A+,A,A,O,O,O,O
6,19N31A0518,8.9,8.65,O,A+,A+,A,B+,O,O,O,O
7,19N31A0519,9.45,9.13,A+,O,A+,A+,A+,O,O,O,O
8,19N31A0520,8.1,8.13,A+,B+,A+,B+,B,O,O,O,O
9,19N31A0521,8.25,8.13,B+,A,A+,B+,B+,O,O,O,O
10,19N31A0522,,,A,F,A+,B,F,O,A+,A+,O
11,19N31A0523,9.3,9.13,A+,O,A+,A+,A,O,O,O,O
12,19N31A0524,9.15,9.08,A+,O,A+,A,A,O,O,O,O
13,19N31A0525,,,A,A,A,B+,F,O,O,O,O
14,19N31A0526,,,B,B,B+,B,F,O,O,O,O
15,19N31A0527,9.6,9.50,A+,O,O,A+,A+,O,O,O,O
16,19N31A0528,8.95,8.58,A+,A+,O,B+,A,O,O,O,O
2,19N31A0529,8.3,8.19,A,B+,A+,A,B+,O,O,O,O
3,19N31A0530,8.9,8.78,A,O,A,A,A,O,O,O,O
4,19N31A0531,8.15,8.05,A+,A,A,B+,B,O,O,O,O
5,19N31A0532,8.85,8.98,A,A+,A+,B+,A+,O,O,O,O
6,19N31A0533,9.0,8.88,A+,O,A+,B+,A,O,O,O,O
7,19N31A0534,8.2,8.75,A+,A+,B,A,B,O,O,O,O
8,19N31A0535,9.05,9.03,A+,A,O,A+,A,O,O,O,O
9,19N31A0536,,,A,A+,A,A,F,O,O,O,O
10,19N31A0537,9.1,8.90,A+,A+,A+,A,A+,O,O,O,O
11,19N31A0538,9.2,9.20,A,O,O,B+,A+,O,O,O,O
12,19N31A0539,,,A,A,B,A,F,O,O,O,O
13,19N31A0540,9.1,9.08,A+,A+,A+,A+,A,O,O,O,O
14,19N31A0541,8.1,7.91,A+,B+,A,A,B,O,O,O,O
15,19N31A0542,9.45,9.45,A+,O,A+,A+,A+,O,O,O,O
16,19N31A0543,8.95,8.95,A+,A+,A+,B+,A+,O,O,O,O
2,19N31A0544,9.45,9.18,A+,O,O,A,A+,O,O,O,O
3,19N31A0545,9.3,8.98,A+,O,A+,A+,A,O,O,O,O
4,19N31A0546,8.9,8.85,A+,A,O,A,A,O,O,O,O
5,19N31A0547,9.15,9.13,A+,O,A+,A+,B+,O,O,O,O
6,19N31A0548,8.15,8.45,A,B+,A+,B+,B+,O,O,O,O
7,19N31A0549,9.45,9.28,A+,O,A+,O,A,O,O,O,O
8,19N31A0550,8.95,9.10,A,A,A+,A+,A+,O,O,O,O
9,19N31A0551,9.0,9.10,A,A+,A+,A+,A,O,O,O,O
10,19N31A0552,,,Ab,F,Ab,Ab,Ab,Ab,Ab,Ab,Ab
11,19N31A0553,7.6,8.30,A+,B,B,A,B,O,O,O,O
12,19N31A0554,8.7,8.71,A,A+,A+,A,B+,O,O,O,O
13,19N31A0555,,,A,A,A,B+,F,O,A+,A+,O
14,19N31A0556,,,A+,F,B+,B+,B,O,O,O,O
15,19N31A0557,9.3,9.58,A+,O,O,B+,A+,O,O,O,O
16,19N31A0558,8.55,8.83,A,A+,A+,A,B,O,O,O,O
2,19N31A0559,8.0,8.08,A,B+,B+,A,B+,O,O,O,O
3,19N31A0560,9.0,9.20,A+,O,A+,A+,B,O,O,O,O
4,19N31A0561,8.25,8.19,O,A,A,B+,B,O,O,O,O
5,19N31A0562,9.3,9.09,A+,O,O,B+,A+,O,O,O,O
6,19N31A0563,9.15,8.75,A+,O,A,A+,A,O,O,O,O
7,19N31A0564,,,A,B,F,B,F,O,O,O,O
8,19N31A0565,8.4,8.25,A+,B+,A+,B+,A,O,O,O,O
9,19N31A0566,,,A,A,B+,B+,F,O,O,O,O
10,19N31A0567,7.6,7.83,A,B+,B+,B+,B+,A+,A+,A+,A+
11,19N31A0568,,,A+,B,B,B+,F,O,O,O,O
12,19N31A0569,8.85,9.15,A+,O,A,A,B+,O,O,O,O
13,19N31A0570,,,B+,A,A,B+,B+,Ab,Ab,Ab,Ab
14,19N31A0571,9.35,9.45,A,O,A,A+,O,O,O,O,O
