,RollNo,SGPA,CGPA,Semester,Failed_Subjects,Passed_Subjects,No_of_backlogs,Absent_subjects,Passed_Out_Year,Branch,Section
0,18N31A05J9,9.1,8.65,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,D
1,18N31A05M8,8.03,-,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,D
2,19N31A0501,8.45,8.51,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
3,19N31A0502,9.05,8.98,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
4,19N31A0503,9.0,9.00,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
5,19N31A0504,-,-,1-2-CSE,"M-II,ECHEM","PENG,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",2,,2023,CSE,A
6,19N31A0505,7.8,-,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
7,19N31A0506,-,-,1-2-CSE,ECHEM,"PENG,M-II,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",1,,2023,CSE,A
8,19N31A0507,-,-,1-2-CSE,BEE,"PENG,M-II,ECHEM,OOP,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",1,,2023,CSE,A
9,19N31A0508,8.9,9.10,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
10,19N31A0509,-,-,1-2-CSE,M-II,"PENG,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",1,,2023,CSE,A
11,19N31A0510,-,-,1-2-CSE,BEE,"PENG,M-II,ECHEM,OOP,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",1,,2023,CSE,A
12,19N31A0511,9.6,9.25,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
13,19N31A0512,8.65,8.50,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
14,19N31A0513,8.3,8.21,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
15,19N31A0514,8.85,9.15,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
16,19N31A0515,9.2,9.30,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
17,19N31A0516,8.25,8.03,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
18,19N31A0517,9.05,9.25,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
19,19N31A0518,8.9,8.65,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
20,19N31A0519,9.45,9.13,1-2-CSE,,"PENG,M-II,ECHEM,OOP,BEE,EP/EC LAB,OOPS LAB,BEE LAB,HV&SP",0,,2023,CSE,A
